time,wait,distance
28.00,0.00,350.37
34.00,0.00,425.83
31.00,0.00,394.90
30.00,0.00,350.37
38.00,0.00,425.83
32.00,0.00,350.37
39.00,0.00,394.90
33.00,0.00,425.83
37.00,0.00,425.83
34.00,0.00,394.90
47.00,0.00,594.44
45.00,0.00,469.44
33.00,0.00,350.37
37.00,0.00,469.44
31.00,0.00,350.37
31.00,0.00,425.83
44.00,0.00,469.44
35.00,0.00,394.90
30.00,0.00,350.37
40.00,0.00,469.44
53.00,6.00,500.37
47.00,0.00,594.44
35.00,0.00,469.44
52.00,0.00,594.44
60.00,5.00,500.37
33.00,0.00,425.83
52.00,2.00,500.37
40.00,0.00,425.83
51.00,1.00,500.37
48.00,0.00,594.44
45.00,0.00,500.37
33.00,0.00,425.83
42.00,0.00,469.44
38.00,0.00,469.44
36.00,0.00,469.44
48.00,0.00,594.44
36.00,0.00,425.83
57.00,0.00,594.44
50.00,0.00,594.44
39.00,0.00,469.44
47.00,0.00,594.44
42.00,0.00,425.83
33.00,0.00,425.83
39.00,0.00,425.83
35.00,0.00,425.83
55.00,0.00,594.44
34.00,0.00,425.83
73.00,34.00,394.90
68.00,30.00,350.37
65.00,27.00,394.90
72.00,32.00,394.90
63.00,24.00,350.37
61.00,25.00,350.37
35.00,0.00,425.83
66.00,27.00,394.90
60.00,20.00,394.90
57.00,19.00,350.37
49.00,11.00,350.37
56.00,17.00,350.37
36.00,0.00,425.83
49.00,10.00,350.37
62.00,19.00,394.90
47.00,6.00,394.90
40.00,2.00,350.37
45.00,5.00,350.37
37.00,0.00,350.37
33.00,0.00,350.37
46.00,4.00,394.90
60.00,14.00,394.90
36.00,0.00,425.83
30.00,0.00,350.37
35.00,0.00,394.90
46.00,0.00,394.90
62.00,11.00,394.90
38.00,0.00,425.83
44.00,0.00,394.90
33.00,0.00,425.83
36.00,0.00,394.90
29.00,0.00,350.37
35.00,0.00,350.37
34.00,0.00,394.90
78.00,32.00,469.44
37.00,0.00,425.83
91.00,46.00,500.37
33.00,0.00,394.90
30.00,0.00,350.37
72.00,29.00,469.44
75.00,31.00,469.44
34.00,0.00,425.83
80.00,28.00,594.44
66.00,21.00,469.44
68.00,14.00,500.37
33.00,0.00,425.83
30.00,0.00,350.37
107.00,55.00,500.37
101.00,50.00,500.37
71.00,27.00,469.44
59.00,14.00,469.44
87.00,30.00,594.44
51.00,8.00,469.44
91.00,36.00,500.37
94.00,41.00,500.37
80.00,23.00,594.44
77.00,20.00,594.44
65.00,15.00,469.44
87.00,33.00,500.37
72.00,17.00,594.44
69.00,15.00,594.44
45.00,0.00,469.44
58.00,10.00,469.44
62.00,5.00,594.44
38.00,0.00,469.44
87.00,26.00,500.37
