time,wait,distance
32.00,0.00,405.37
32.00,0.00,397.20
36.00,0.00,369.57
33.00,0.00,405.37
34.00,0.00,369.57
39.00,0.00,397.20
36.00,0.00,405.37
34.00,0.00,397.20
33.00,0.00,369.57
38.00,3.00,369.57
37.00,0.00,405.37
31.00,0.00,369.57
36.00,0.00,405.37
34.00,1.00,405.37
58.00,20.00,413.54
34.00,0.00,369.57
33.00,0.00,413.54
58.00,15.00,413.54
58.00,21.00,369.57
31.00,0.00,369.57
50.00,10.00,413.54
54.00,11.00,413.54
64.00,24.00,369.57
46.00,5.00,413.54
44.00,1.00,413.54
54.00,14.00,369.57
57.00,18.00,369.57
50.00,11.00,369.57
47.00,7.00,369.57
42.00,0.00,405.37
39.00,0.00,369.57
43.00,2.00,369.57
38.00,0.00,405.37
35.00,0.00,405.37
32.00,0.00,369.57
36.00,0.00,369.57
31.00,0.00,369.57
37.00,0.00,405.37
35.00,0.00,405.37
33.00,0.00,369.57
31.00,0.00,369.57
37.00,0.00,405.37
30.00,0.00,369.57
35.00,0.00,405.37
33.00,0.00,369.57
37.00,0.00,405.37
80.00,38.00,397.20
35.00,0.00,405.37
32.00,0.00,369.57
33.00,0.00,405.37
99.00,62.00,405.37
32.00,0.00,405.37
95.00,54.00,405.37
92.00,54.00,405.37
88.00,47.00,405.37
81.00,39.00,405.37
88.00,44.00,405.37
33.00,0.00,405.37
76.00,38.00,405.37
84.00,44.00,405.37
72.00,31.00,405.37
32.00,0.00,405.37
79.00,34.00,405.37
64.00,24.00,405.37
39.00,0.00,405.37
72.00,29.00,405.37
57.00,16.00,405.37
65.00,21.00,405.37
33.00,0.00,405.37
57.00,15.00,405.37
52.00,7.00,405.37
32.00,0.00,405.37
90.00,47.00,369.57
84.00,40.00,369.57
84.00,39.00,369.57
78.00,34.00,369.57
71.00,23.00,369.57
77.00,30.00,369.57
63.00,16.00,369.57
34.00,0.00,405.37
70.00,22.00,369.57
31.00,0.00,405.37
56.00,9.00,369.57
63.00,13.00,369.57
55.00,7.00,369.57
50.00,0.00,369.57
49.00,0.00,369.57
43.00,0.00,369.57
45.00,0.00,369.57
31.00,0.00,405.37
35.00,0.00,369.57
37.00,0.00,369.57
35.00,0.00,405.37
30.00,0.00,405.37
34.00,0.00,405.37
79.00,37.00,369.57
83.00,41.00,369.57
72.00,28.00,369.57
77.00,32.00,369.57
65.00,23.00,369.57
69.00,24.00,369.57
32.00,0.00,405.37
58.00,14.00,369.57
63.00,18.00,369.57
51.00,5.00,369.57
57.00,11.00,369.57
38.00,0.00,405.37
46.00,0.00,369.57
52.00,4.00,369.57
31.00,0.00,405.37
45.00,0.00,369.57
39.00,0.00,369.57
39.00,0.00,369.57
32.00,0.00,369.57
36.00,0.00,405.37
35.00,0.00,369.57
31.00,0.00,405.37
29.00,0.00,369.57
31.00,0.00,369.57
153.00,107.00,397.20
157.00,112.00,397.20
144.00,99.00,397.20
148.00,101.00,397.20
137.00,93.00,397.20
141.00,94.00,397.20
134.00,86.00,397.20
40.00,0.00,405.37
131.00,82.00,397.20
123.00,75.00,397.20
127.00,79.00,397.20
119.00,72.00,397.20
133.00,85.00,413.54
33.00,0.00,405.37
128.00,81.00,413.54
117.00,67.00,397.20
112.00,64.00,397.20
35.00,0.00,405.37
153.00,110.00,413.54
109.00,59.00,397.20
100.00,51.00,397.20
104.00,55.00,397.20
148.00,101.00,413.54
92.00,44.00,397.20
97.00,47.00,397.20
84.00,32.00,397.20
81.00,33.00,397.20
129.00,80.00,413.54
90.00,39.00,397.20
76.00,26.00,397.20
68.00,26.00,397.20
75.00,26.00,397.20
59.00,22.00,397.20
67.00,25.00,397.20
143.00,91.00,413.54
150.00,97.00,413.54
117.00,66.00,413.54
90.00,44.00,413.54
53.00,10.00,397.20
52.00,12.00,397.20
124.00,71.00,413.54
61.00,16.00,397.20
128.00,72.00,413.54
36.00,0.00,405.37
102.00,46.00,413.54
40.00,0.00,405.37
114.00,61.00,413.54
31.00,0.00,405.37
122.00,67.00,413.54
34.00,0.00,405.37
115.00,55.00,413.54
110.00,57.00,413.54
100.00,52.00,413.54
90.00,52.00,369.57
94.00,52.00,413.54
95.00,54.00,413.54
93.00,50.00,369.57
88.00,47.00,413.54
85.00,45.00,369.57
88.00,48.00,413.54
86.00,46.00,369.57
35.00,0.00,405.37
82.00,39.00,413.54
79.00,39.00,369.57
80.00,39.00,369.57
75.00,36.00,413.54
74.00,32.00,369.57
40.00,0.00,405.37
87.00,41.00,413.54
77.00,36.00,369.57
63.00,22.00,413.54
35.00,0.00,405.37
81.00,37.00,413.54
71.00,29.00,369.57
73.00,31.00,413.54
75.00,29.00,413.54
73.00,27.00,369.57
67.00,21.00,369.57
67.00,24.00,369.57
63.00,20.00,369.57
61.00,16.00,369.57
57.00,15.00,369.57
54.00,10.00,369.57
35.00,0.00,405.37
49.00,7.00,369.57
47.00,0.00,405.37
40.00,0.00,405.37
55.00,11.00,369.57
35.00,0.00,405.37
47.00,0.00,369.57
53.00,6.00,369.57
41.00,0.00,369.57
34.00,0.00,369.57
47.00,0.00,369.57
38.00,0.00,405.37
40.00,0.00,369.57
32.00,0.00,405.37
90.00,48.00,369.57
34.00,0.00,369.57
35.00,0.00,405.37
90.00,46.00,369.57
85.00,42.00,369.57
85.00,39.00,369.57
79.00,34.00,369.57
78.00,33.00,369.57
33.00,0.00,405.37
72.00,26.00,369.57
71.00,23.00,369.57
32.00,0.00,405.37
66.00,18.00,369.57
65.00,18.00,369.57
59.00,12.00,369.57
58.00,9.00,369.57
30.00,0.00,405.37
52.00,5.00,369.57
51.00,4.00,369.57
46.00,5.00,369.57
44.00,4.00,369.57
40.00,0.00,369.57
33.00,0.00,369.57
171.00,110.00,405.37
40.00,0.00,369.57
187.00,130.00,405.37
178.00,110.00,405.37
154.00,101.00,405.37
182.00,125.00,405.37
34.00,0.00,369.57
171.00,114.00,405.37
165.00,111.00,405.37
163.00,98.00,405.37
138.00,83.00,405.37
149.00,89.00,405.37
148.00,91.00,405.37
132.00,77.00,405.37
132.00,72.00,405.37
123.00,63.00,405.37
42.00,0.00,405.37
36.00,0.00,405.37
159.00,97.00,405.37
117.00,55.00,405.37
108.00,46.00,405.37
117.00,54.00,405.37
31.00,0.00,405.37
144.00,83.00,405.37
115.00,73.00,397.20
37.00,0.00,405.37
125.00,79.00,397.20
117.00,72.00,397.20
129.00,65.00,405.37
101.00,57.00,397.20
109.00,64.00,397.20
111.00,66.00,397.20
127.00,78.00,397.20
86.00,41.00,397.20
94.00,50.00,397.20
95.00,49.00,397.20
104.00,56.00,397.20
80.00,37.00,397.20
72.00,28.00,397.20
88.00,37.00,397.20
79.00,33.00,397.20
66.00,21.00,397.20
58.00,12.00,397.20
73.00,24.00,397.20
66.00,18.00,397.20
52.00,7.00,397.20
45.00,0.00,397.20
40.00,0.00,405.37
59.00,10.00,397.20
51.00,6.00,397.20
33.00,0.00,397.20
41.00,0.00,397.20
46.00,0.00,397.20
39.00,0.00,397.20
31.00,0.00,397.20
41.00,0.00,405.37
38.00,0.00,405.37
30.00,0.00,397.20
38.00,0.00,405.37
36.00,0.00,405.37
78.00,39.00,369.57
32.00,0.00,405.37
41.00,0.00,405.37
30.00,0.00,405.37
128.00,80.00,413.54
154.00,104.00,413.54
106.00,59.00,413.54
119.00,58.00,413.54
149.00,95.00,413.54
135.00,78.00,413.54
148.00,92.00,413.54
100.00,54.00,413.54
42.00,0.00,405.37
132.00,63.00,413.54
128.00,59.00,413.54
144.00,76.00,413.54
118.00,53.00,413.54
93.00,41.00,369.57
37.00,0.00,405.37
111.00,49.00,413.54
103.00,50.00,369.57
124.00,52.00,413.54
99.00,42.00,413.54
37.00,0.00,405.37
109.00,52.00,413.54
102.00,49.00,413.54
99.00,48.00,369.57
92.00,44.00,369.57
92.00,40.00,369.57
155.00,84.00,413.54
96.00,42.00,413.54
37.00,0.00,405.37
98.00,46.00,413.54
34.00,0.00,405.37
88.00,37.00,369.57
89.00,39.00,369.57
93.00,39.00,413.54
83.00,33.00,369.57
95.00,39.00,413.54
84.00,33.00,369.57
89.00,33.00,413.54
37.00,0.00,405.37
98.00,56.00,369.57
97.00,53.00,369.57
93.00,52.00,369.57
92.00,48.00,369.57
34.00,0.00,405.37
90.00,45.00,369.57
86.00,42.00,369.57
84.00,38.00,369.57
80.00,34.00,369.57
41.00,0.00,405.37
76.00,30.00,369.57
