time,wait,distance
31.00,0.00,366.95
31.00,0.00,394.90
34.00,0.00,406.40
33.00,0.00,366.95
41.00,0.00,406.40
40.00,10.00,366.95
35.00,0.00,366.95
39.00,0.00,394.90
36.00,4.00,406.40
34.00,0.00,394.90
44.00,8.00,366.95
35.00,0.00,394.90
34.00,2.00,406.40
35.00,0.00,366.95
33.00,0.00,366.95
52.00,11.00,406.40
47.00,5.00,406.40
42.00,4.00,366.95
30.00,0.00,366.95
26.00,0.00,406.40
34.00,0.00,394.90
35.00,0.00,366.95
42.00,1.00,366.95
35.00,0.00,366.95
35.00,0.00,394.90
43.00,0.00,406.40
37.00,0.00,406.40
34.00,0.00,366.95
33.00,0.00,366.95
33.00,0.00,394.90
27.00,0.00,366.95
31.00,0.00,366.95
27.00,0.00,406.40
34.00,0.00,394.90
34.00,0.00,366.95
35.00,0.00,406.40
32.00,0.00,394.90
34.00,0.00,366.95
32.00,0.00,366.95
33.00,0.00,394.90
32.00,0.00,366.95
38.00,0.00,366.95
33.00,0.00,394.90
32.00,0.00,366.95
31.00,0.00,366.95
37.00,0.00,394.90
33.00,0.00,394.90
32.00,0.00,366.95
30.00,0.00,366.95
34.00,0.00,394.90
31.00,0.00,394.90
31.00,0.00,366.95
32.00,0.00,394.90
95.00,56.00,406.40
102.00,55.00,405.26
105.00,62.00,405.26
85.00,41.00,405.26
88.00,44.00,405.26
95.00,49.00,405.26
98.00,51.00,405.26
77.00,37.00,405.26
81.00,43.00,405.26
33.00,0.00,394.90
88.00,39.00,406.40
82.00,39.00,406.40
74.00,35.00,405.26
74.00,31.00,406.40
72.00,28.00,405.26
72.00,22.00,406.40
94.00,47.00,406.40
67.00,22.00,406.40
83.00,32.00,406.40
65.00,18.00,406.40
57.00,16.00,406.40
60.00,18.00,406.40
36.00,0.00,394.90
103.00,49.00,406.40
52.00,5.00,406.40
50.00,2.00,406.40
41.00,1.00,406.40
44.00,3.00,406.40
34.00,0.00,406.40
37.00,0.00,406.40
34.00,0.00,394.90
48.00,13.00,366.95
33.00,0.00,394.90
45.00,8.00,366.95
43.00,2.00,366.95
37.00,2.00,366.95
32.00,0.00,394.90
30.00,0.00,394.90
36.00,0.00,406.40
34.00,0.00,406.40
39.00,1.00,366.95
33.00,0.00,366.95
33.00,0.00,366.95
28.00,0.00,366.95
84.00,53.00,366.95
81.00,48.00,406.40
35.00,0.00,394.90
85.00,51.00,406.40
70.00,40.00,366.95
33.00,0.00,394.90
31.00,0.00,366.95
89.00,52.00,366.95
97.00,57.00,406.40
65.00,35.00,366.95
31.00,0.00,394.90
100.00,58.00,406.40
29.00,0.00,366.95
86.00,49.00,366.95
73.00,37.00,406.40
62.00,28.00,406.40
27.00,0.00,366.95
85.00,45.00,366.95
82.00,43.00,406.40
49.00,20.00,366.95
78.00,37.00,366.95
33.00,0.00,394.90
53.00,20.00,366.95
42.00,13.00,366.95
88.00,43.00,406.40
78.00,35.00,406.40
72.00,34.00,366.95
50.00,15.00,406.40
66.00,26.00,366.95
68.00,27.00,366.95
33.00,0.00,394.90
30.00,0.00,366.95
32.00,0.00,394.90
77.00,30.00,406.40
69.00,26.00,406.40
67.00,21.00,406.40
62.00,18.00,406.40
56.00,13.00,366.95
48.00,9.00,366.95
34.00,0.00,366.95
31.00,0.00,394.90
42.00,2.00,366.95
30.00,0.00,394.90
30.00,0.00,366.95
50.00,7.00,366.95
59.00,12.00,406.40
30.00,0.00,366.95
60.00,8.00,406.40
45.00,0.00,366.95
37.00,0.00,366.95
53.00,3.00,406.40
57.00,6.00,406.40
37.00,0.00,394.90
34.00,0.00,366.95
36.00,0.00,394.90
29.00,0.00,366.95
36.00,0.00,366.95
33.00,0.00,394.90
32.00,0.00,366.95
37.00,0.00,394.90
29.00,0.00,366.95
94.00,57.00,406.40
34.00,0.00,394.90
28.00,0.00,394.90
146.00,102.00,405.26
92.00,52.00,406.40
39.00,0.00,394.90
150.00,103.00,405.26
139.00,94.00,405.26
131.00,84.00,405.26
133.00,87.00,405.26
29.00,0.00,394.90
143.00,95.00,405.26
116.00,68.00,405.26
126.00,78.00,405.26
115.00,67.00,405.26
125.00,75.00,405.26
108.00,59.00,405.26
110.00,63.00,405.26
99.00,50.00,405.26
101.00,51.00,405.26
92.00,44.00,405.26
94.00,45.00,405.26
83.00,30.00,405.26
86.00,35.00,405.26
81.00,30.00,406.40
70.00,25.00,406.40
31.00,0.00,394.90
86.00,37.00,406.40
89.00,37.00,406.40
77.00,26.00,406.40
81.00,38.00,406.40
30.00,0.00,394.90
70.00,24.00,406.40
56.00,15.00,406.40
63.00,19.00,406.40
46.00,3.00,406.40
57.00,17.00,406.40
42.00,0.00,406.40
53.00,11.00,406.40
36.00,0.00,406.40
106.00,64.00,406.40
35.00,0.00,394.90
45.00,0.00,406.40
33.00,0.00,394.90
54.00,19.00,366.95
27.00,0.00,394.90
61.00,20.00,366.95
85.00,56.00,366.95
53.00,16.00,366.95
47.00,12.00,366.95
32.00,0.00,394.90
46.00,8.00,366.95
42.00,2.00,366.95
90.00,54.00,366.95
86.00,54.00,406.40
83.00,50.00,366.95
35.00,0.00,366.95
102.00,58.00,366.95
100.00,59.00,406.40
79.00,46.00,406.40
64.00,36.00,366.95
43.00,0.00,366.95
107.00,59.00,406.40
29.00,0.00,394.90
72.00,38.00,406.40
36.00,0.00,366.95
86.00,47.00,366.95
101.00,58.00,406.40
65.00,33.00,406.40
32.00,0.00,366.95
79.00,41.00,366.95
52.00,22.00,366.95
98.00,55.00,406.40
32.00,0.00,366.95
57.00,24.00,366.95
39.00,0.00,394.90
92.00,46.00,406.40
86.00,46.00,366.95
66.00,28.00,366.95
79.00,39.00,366.95
86.00,43.00,406.40
34.00,0.00,394.90
73.00,31.00,366.95
31.00,0.00,394.90
79.00,33.00,406.40
47.00,14.00,366.95
35.00,0.00,366.95
70.00,27.00,406.40
32.00,0.00,366.95
62.00,18.00,406.40
28.00,0.00,366.95
58.00,16.00,366.95
33.00,0.00,394.90
50.00,9.00,366.95
63.00,20.00,366.95
32.00,0.00,394.90
59.00,12.00,406.40
44.00,4.00,366.95
30.00,0.00,366.95
52.00,6.00,406.40
50.00,6.00,366.95
29.00,0.00,366.95
28.00,0.00,366.95
36.00,0.00,394.90
34.00,0.00,394.90
34.00,0.00,394.90
38.00,0.00,394.90
29.00,0.00,394.90
37.00,0.00,366.95
33.00,0.00,366.95
148.00,101.00,405.26
102.00,58.00,406.40
178.00,129.00,406.40
142.00,95.00,406.40
36.00,0.00,394.90
31.00,0.00,394.90
158.00,105.00,405.26
141.00,95.00,405.26
98.00,56.00,406.40
162.00,107.00,405.26
154.00,108.00,405.26
146.00,98.00,405.26
134.00,88.00,405.26
116.00,68.00,405.26
139.00,89.00,405.26
127.00,80.00,405.26
100.00,51.00,405.26
132.00,80.00,405.26
123.00,73.00,405.26
111.00,62.00,405.26
84.00,35.00,405.26
115.00,64.00,405.26
95.00,46.00,405.26
94.00,47.00,406.40
108.00,54.00,405.26
32.00,0.00,394.90
77.00,28.00,406.40
38.00,0.00,394.90
101.00,48.00,405.26
88.00,41.00,406.40
123.00,68.00,406.40
46.00,13.00,366.95
115.00,60.00,406.40
62.00,20.00,406.40
32.00,0.00,394.90
46.00,3.00,406.40
96.00,57.00,406.40
110.00,53.00,406.40
42.00,0.00,366.95
39.00,0.00,406.40
31.00,0.00,394.90
102.00,42.00,406.40
80.00,39.00,406.40
116.00,74.00,406.40
65.00,23.00,406.40
31.00,0.00,394.90
64.00,24.00,366.95
42.00,4.00,366.95
57.00,17.00,366.95
50.00,10.00,366.95
37.00,0.00,366.95
31.00,0.00,394.90
105.00,62.00,406.40
43.00,4.00,366.95
102.00,63.00,366.95
35.00,0.00,366.95
29.00,0.00,394.90
101.00,56.00,366.95
39.00,0.00,394.90
28.00,0.00,366.95
94.00,55.00,366.95
34.00,0.00,366.95
109.00,59.00,406.40
73.00,40.00,406.40
87.00,49.00,366.95
103.00,57.00,406.40
108.00,58.00,406.40
96.00,55.00,406.40
94.00,57.00,366.95
62.00,32.00,366.95
30.00,0.00,366.95
79.00,45.00,366.95
55.00,26.00,366.95
35.00,0.00,394.90
90.00,47.00,406.40
85.00,43.00,366.95
105.00,56.00,406.40
109.00,58.00,366.95
79.00,37.00,366.95
35.00,0.00,394.90
95.00,50.00,366.95
59.00,25.00,366.95
32.00,0.00,394.90
101.00,54.00,406.40
79.00,33.00,406.40
35.00,0.00,366.95
95.00,48.00,406.40
32.00,0.00,366.95
72.00,27.00,406.40
88.00,39.00,406.40
30.00,0.00,366.95
60.00,18.00,366.95
85.00,37.00,366.95
53.00,10.00,366.95
36.00,0.00,394.90
78.00,32.00,366.95
31.00,0.00,366.95
29.00,0.00,394.90
63.00,19.00,366.95
57.00,13.00,366.95
40.00,0.00,394.90
30.00,0.00,366.95
36.00,0.00,366.95
31.00,0.00,394.90
37.00,0.00,394.90
29.00,0.00,366.95
27.00,0.00,366.95
32.00,0.00,394.90
31.00,0.00,394.90
37.00,0.00,394.90
128.00,79.00,406.40
114.00,63.00,406.40
101.00,54.00,406.40
105.00,56.00,406.40
162.00,108.00,405.26
113.00,72.00,406.40
160.00,108.00,405.26
148.00,98.00,406.40
144.00,95.00,406.40
173.00,115.00,405.26
144.00,97.00,405.26
34.00,0.00,394.90
154.00,104.00,405.26
101.00,54.00,406.40
159.00,103.00,405.26
151.00,97.00,405.26
137.00,87.00,405.26
128.00,79.00,405.26
145.00,94.00,405.26
127.00,78.00,405.26
112.00,62.00,405.26
137.00,89.00,405.26
122.00,71.00,405.26
107.00,57.00,406.40
36.00,0.00,394.90
121.00,72.00,405.26
115.00,63.00,406.40
106.00,53.00,405.26
100.00,51.00,406.40
95.00,59.00,406.40
115.00,63.00,405.26
99.00,43.00,405.26
106.00,54.00,405.26
93.00,39.00,406.40
32.00,0.00,394.90
37.00,0.00,394.90
113.00,59.00,406.40
82.00,40.00,406.40
141.00,92.00,406.40
106.00,66.00,406.40
32.00,0.00,394.90
69.00,24.00,406.40
199.00,159.00,406.40
51.00,7.00,406.40
44.00,3.00,406.40
32.00,0.00,394.90
94.00,55.00,366.95
65.00,26.00,366.95
61.00,20.00,366.95
88.00,56.00,366.95
58.00,19.00,366.95
54.00,15.00,366.95
91.00,52.00,366.95
51.00,12.00,366.95
47.00,6.00,366.95
35.00,0.00,394.90
108.00,61.00,366.95
43.00,5.00,366.95
109.00,61.00,366.95
40.00,0.00,366.95
35.00,0.00,394.90
35.00,0.00,366.95
108.00,59.00,406.40
103.00,56.00,366.95
82.00,48.00,366.95
126.00,75.00,406.40
75.00,45.00,366.95
32.00,0.00,394.90
120.00,68.00,406.40
31.00,0.00,394.90
105.00,58.00,406.40
114.00,62.00,406.40
33.00,0.00,366.95
100.00,56.00,406.40
43.00,0.00,366.95
98.00,52.00,366.95
95.00,51.00,406.40
88.00,45.00,406.40
36.00,0.00,366.95
33.00,0.00,394.90
92.00,49.00,366.95
31.00,0.00,394.90
31.00,0.00,366.95
80.00,39.00,366.95
31.00,0.00,366.95
87.00,42.00,366.95
74.00,34.00,366.95
67.00,29.00,366.95
80.00,37.00,366.95
72.00,29.00,366.95
29.00,0.00,366.95
65.00,25.00,366.95
35.00,0.00,394.90
65.00,22.00,366.95
33.00,0.00,394.90
60.00,18.00,366.95
34.00,0.00,366.95
34.00,0.00,394.90
32.00,0.00,394.90
29.00,0.00,366.95
35.00,0.00,366.95
34.00,0.00,394.90
32.00,0.00,366.95
30.00,0.00,366.95
34.00,0.00,394.90
157.00,108.00,406.40
36.00,0.00,394.90
146.00,98.00,406.40
141.00,84.00,406.40
101.00,53.00,406.40
183.00,137.00,406.40
133.00,83.00,406.40
169.00,115.00,405.26
125.00,71.00,406.40
31.00,0.00,394.90
153.00,103.00,406.40
38.00,0.00,394.90
163.00,108.00,405.26
171.00,115.00,405.26
147.00,98.00,405.26
180.00,124.00,405.26
156.00,104.00,405.26
157.00,100.00,405.26
141.00,91.00,405.26
166.00,107.00,405.26
146.00,96.00,405.26
133.00,83.00,405.26
34.00,0.00,394.90
139.00,90.00,405.26
129.00,79.00,406.40
126.00,76.00,405.26
163.00,103.00,406.40
132.00,83.00,405.26
122.00,73.00,406.40
110.00,58.00,405.26
31.00,0.00,394.90
153.00,100.00,406.40
120.00,65.00,405.26
117.00,70.00,405.26
115.00,63.00,406.40
147.00,98.00,406.40
127.00,73.00,405.26
105.00,48.00,405.26
31.00,0.00,394.90
108.00,52.00,406.40
140.00,89.00,406.40
181.00,137.00,406.40
109.00,67.00,406.40
133.00,81.00,406.40
51.00,11.00,366.95
134.00,80.00,406.40
86.00,45.00,406.40
32.00,0.00,394.90
128.00,71.00,406.40
71.00,28.00,406.40
111.00,65.00,406.40
50.00,10.00,366.95
35.00,0.00,394.90
63.00,25.00,366.95
108.00,66.00,366.95
43.00,2.00,366.95
56.00,17.00,366.95
129.00,88.00,406.40
107.00,62.00,406.40
36.00,0.00,366.95
33.00,0.00,394.90
31.00,0.00,394.90
51.00,9.00,366.95
98.00,56.00,366.95
43.00,4.00,366.95
122.00,75.00,366.95
144.00,94.00,406.40
119.00,75.00,406.40
36.00,0.00,366.95
123.00,72.00,406.40
110.00,62.00,366.95
34.00,0.00,366.95
99.00,55.00,406.40
28.00,0.00,366.95
119.00,68.00,366.95
34.00,1.00,394.90
112.00,61.00,366.95
134.00,81.00,406.40
109.00,63.00,406.40
31.00,0.00,366.95
108.00,56.00,366.95
115.00,60.00,406.40
103.00,53.00,366.95
37.00,0.00,394.90
95.00,52.00,366.95
95.00,53.00,366.95
32.00,0.00,394.90
125.00,70.00,406.40
90.00,49.00,366.95
31.00,0.00,394.90
31.00,0.00,366.95
90.00,49.00,366.95
31.00,0.00,366.95
85.00,47.00,366.95
83.00,44.00,366.95
76.00,37.00,366.95
70.00,31.00,366.95
28.00,0.00,366.95
84.00,43.00,366.95
37.00,0.00,394.90
38.00,0.00,394.90
36.00,0.00,366.95
31.00,0.00,394.90
