time,wait,distance
31.00,0.00,394.90
33.00,0.00,394.90
36.00,1.00,376.59
36.00,0.00,394.90
37.00,0.00,376.59
36.00,0.00,394.90
37.00,1.00,376.59
35.00,0.00,394.90
32.00,0.00,394.90
35.00,0.00,394.90
39.00,2.00,376.59
34.00,0.00,376.59
39.00,0.00,376.59
34.00,0.00,394.90
31.00,0.00,394.90
37.00,0.00,376.59
31.00,0.00,376.59
37.00,0.00,376.59
35.00,0.00,376.59
40.00,0.00,394.90
37.00,0.00,394.90
35.00,0.00,376.59
59.00,23.00,394.90
36.00,0.00,376.59
53.00,13.00,394.90
60.00,15.00,394.90
30.00,0.00,376.59
52.00,10.00,394.90
46.00,5.00,394.90
38.00,0.00,394.90
45.00,2.00,394.90
38.00,0.00,394.90
33.00,0.00,394.90
31.00,0.00,394.90
74.00,28.00,394.90
72.00,33.00,394.90
67.00,23.00,394.90
42.00,7.00,376.59
46.00,10.00,376.59
60.00,16.00,394.90
67.00,23.00,394.90
53.00,8.00,394.90
32.00,0.00,394.90
57.00,17.00,376.59
38.00,0.00,376.59
46.00,5.00,394.90
62.00,19.00,394.90
35.00,0.00,376.59
56.00,9.00,394.90
37.00,0.00,394.90
47.00,8.00,376.59
32.00,0.00,394.90
38.00,2.00,376.59
45.00,0.00,394.90
35.00,0.00,376.59
55.00,4.00,394.90
35.00,0.00,394.90
31.00,0.00,394.90
37.00,0.00,376.59
44.00,3.00,394.90
32.00,0.00,394.90
63.00,26.00,376.59
57.00,21.00,376.59
54.00,3.00,394.90
54.00,13.00,376.59
75.00,38.00,394.90
80.00,43.00,394.90
74.00,33.00,394.90
72.00,29.00,394.90
68.00,26.00,394.90
65.00,23.00,394.90
61.00,20.00,394.90
58.00,16.00,394.90
54.00,14.00,394.90
93.00,54.00,394.90
50.00,8.00,394.90
54.00,10.00,376.59
48.00,8.00,394.90
50.00,8.00,376.59
44.00,1.00,394.90
41.00,0.00,376.59
47.00,4.00,376.59
38.00,0.00,394.90
