time,wait,distance
31.00,0.00,394.90
31.00,0.00,394.90
34.00,0.00,394.90
37.00,0.00,394.90
35.00,0.00,394.90
42.00,6.00,394.90
30.00,0.00,394.90
40.00,0.00,394.90
33.00,0.00,394.90
39.00,0.00,394.90
36.00,0.00,394.90
29.00,0.00,394.90
34.00,0.00,394.90
36.00,0.00,394.90
38.00,0.00,394.90
30.00,0.00,394.90
50.00,0.00,594.90
37.00,0.00,394.90
58.00,0.00,594.90
31.00,0.00,394.90
38.00,0.00,394.90
36.00,0.00,394.90
30.00,0.00,394.90
41.00,0.00,394.90
35.00,0.00,394.90
34.00,0.00,394.90
57.00,16.00,394.90
59.00,18.00,394.90
66.00,22.00,394.90
53.00,12.00,394.90
54.00,12.00,394.90
72.00,11.00,594.90
48.00,6.00,394.90
68.00,11.00,594.90
65.00,11.00,594.90
43.00,2.00,394.90
42.00,2.00,394.90
61.00,2.00,594.90
50.00,0.00,594.90
52.00,9.00,394.90
56.00,9.00,394.90
56.00,0.00,594.90
42.00,1.00,394.90
40.00,1.00,394.90
51.00,6.00,394.90
49.00,7.00,394.90
37.00,1.00,394.90
75.00,20.00,594.90
71.00,15.00,594.90
38.00,0.00,394.90
70.00,5.00,594.90
60.00,4.00,594.90
56.00,19.00,394.90
52.00,4.00,394.90
57.00,0.00,594.90
57.00,18.00,394.90
86.00,19.00,594.90
73.00,9.00,594.90
55.00,16.00,394.90
56.00,14.00,394.90
81.00,17.00,594.90
51.00,10.00,394.90
76.00,12.00,594.90
55.00,10.00,394.90
49.00,8.00,394.90
43.00,3.00,394.90
42.00,1.00,394.90
41.00,0.00,394.90
48.00,6.00,394.90
51.00,9.00,394.90
36.00,0.00,394.90
43.00,4.00,394.90
59.00,0.00,594.90
34.00,0.00,394.90
66.00,1.00,594.90
74.00,13.00,594.90
43.00,0.00,394.90
36.00,0.00,394.90
66.00,4.00,394.90
34.00,0.00,394.90
43.00,1.00,394.90
41.00,0.00,394.90
58.00,2.00,594.90
39.00,1.00,394.90
31.00,0.00,394.90
35.00,0.00,394.90
36.00,0.00,394.90
67.00,1.00,394.90
72.00,2.00,594.90
38.00,1.00,394.90
64.00,21.00,394.90
49.00,5.00,394.90
33.00,0.00,394.90
74.00,13.00,394.90
68.00,6.00,394.90
45.00,5.00,394.90
87.00,22.00,594.90
69.00,6.00,394.90
80.00,14.00,594.90
43.00,1.00,394.90
76.00,9.00,594.90
73.00,7.00,594.90
67.00,15.00,394.90
70.00,0.00,394.90
96.00,33.00,594.90
40.00,0.00,394.90
67.00,5.00,594.90
69.00,3.00,394.90
39.00,1.00,394.90
73.00,4.00,594.90
61.00,3.00,594.90
92.00,24.00,594.90
70.00,5.00,394.90
61.00,1.00,394.90
68.00,0.00,594.90
80.00,17.00,594.90
43.00,1.00,394.90
56.00,14.00,394.90
42.00,0.00,394.90
93.00,14.00,594.90
54.00,13.00,394.90
61.00,23.00,394.90
74.00,2.00,394.90
58.00,17.00,394.90
78.00,16.00,594.90
88.00,11.00,594.90
54.00,15.00,394.90
51.00,12.00,394.90
48.00,9.00,394.90
53.00,9.00,394.90
40.00,4.00,394.90
67.00,9.00,594.90
47.00,8.00,394.90
44.00,5.00,394.90
46.00,4.00,394.90
36.00,0.00,394.90
86.00,3.00,594.90
41.00,1.00,394.90
78.00,12.00,594.90
40.00,0.00,394.90
34.00,0.00,394.90
45.00,1.00,394.90
31.00,0.00,394.90
33.00,0.00,394.90
84.00,2.00,594.90
67.00,2.00,594.90
40.00,0.00,394.90
78.00,0.00,594.90
73.00,0.00,394.90
36.00,0.00,394.90
60.00,0.00,394.90
35.00,0.00,394.90
49.00,1.00,394.90
43.00,1.00,394.90
37.00,0.00,394.90
85.00,28.00,594.90
