time,wait,distance
32.00,0.00,394.90
34.00,0.00,376.51
31.00,0.00,394.89
36.00,0.00,426.51
32.00,0.00,376.51
36.00,0.00,376.51
34.00,0.00,376.51
34.00,0.00,376.51
39.00,0.00,394.89
34.00,0.00,394.89
35.00,0.00,394.89
36.00,0.00,376.51
33.00,0.00,376.51
34.00,0.00,394.89
31.00,0.00,376.51
35.00,0.00,394.89
33.00,0.00,394.89
37.00,0.00,376.51
62.00,16.00,426.51
56.00,11.00,426.51
63.00,23.00,394.90
41.00,10.00,376.51
46.00,4.00,426.51
49.00,11.00,426.51
34.00,0.00,394.89
68.00,17.00,426.51
34.00,4.00,376.51
37.00,8.00,376.51
57.00,19.00,394.90
57.00,12.00,426.51
57.00,20.00,376.51
55.00,17.00,376.51
43.00,1.00,426.51
62.00,21.00,426.51
62.00,20.00,394.90
66.00,24.00,426.51
33.00,0.00,394.89
55.00,17.00,394.90
52.00,15.00,376.51
31.00,0.00,394.89
59.00,17.00,426.51
44.00,6.00,394.90
47.00,7.00,394.90
25.00,0.00,376.51
55.00,12.00,394.90
52.00,9.00,426.51
33.00,0.00,426.51
60.00,11.00,426.51
52.00,6.00,426.51
46.00,3.00,426.51
43.00,3.00,394.90
32.00,0.00,394.90
32.00,0.00,394.89
42.00,0.00,376.51
43.00,0.00,394.90
37.00,0.00,394.90
47.00,0.00,426.51
41.00,0.00,376.51
33.00,0.00,376.51
40.00,0.00,426.51
35.00,0.00,426.51
51.00,16.00,376.51
55.00,16.00,376.51
38.00,0.00,394.89
48.00,9.00,376.51
45.00,7.00,376.51
33.00,0.00,394.89
41.00,1.00,376.51
37.00,0.00,376.51
35.00,0.00,376.51
34.00,0.00,376.51
34.00,0.00,394.89
31.00,0.00,376.51
31.00,0.00,394.89
31.00,0.00,376.51
32.00,0.00,394.89
30.00,0.00,376.51
33.00,0.00,394.89
31.00,0.00,376.51
34.00,0.00,394.89
78.00,34.00,426.51
85.00,39.00,426.51
62.00,22.00,394.90
63.00,12.00,426.51
79.00,31.00,426.51
70.00,15.00,426.51
73.00,24.00,426.51
34.00,0.00,394.89
47.00,3.00,426.51
66.00,23.00,426.51
60.00,22.00,376.51
62.00,12.00,426.51
53.00,7.00,426.51
64.00,23.00,394.90
58.00,18.00,394.90
58.00,12.00,426.51
33.00,0.00,394.89
53.00,16.00,376.51
46.00,5.00,426.51
57.00,16.00,376.51
64.00,21.00,426.51
52.00,11.00,394.90
45.00,6.00,426.51
42.00,5.00,426.51
50.00,9.00,376.51
32.00,0.00,394.89
63.00,18.00,426.51
60.00,15.00,394.90
