time,wait,distance
32.00,0.00,378.18
35.00,0.00,422.80
35.00,0.00,378.18
32.00,0.00,378.18
33.00,0.00,378.18
38.00,0.00,467.42
39.00,0.00,422.80
33.00,0.00,378.18
35.00,0.00,378.18
41.00,0.00,467.42
38.00,0.00,467.42
35.00,0.00,378.18
39.00,0.00,422.80
37.00,0.00,378.18
43.00,0.00,422.80
47.00,3.00,467.42
37.00,0.00,378.18
48.00,0.00,422.80
38.00,0.00,422.80
36.00,0.00,378.18
43.00,0.00,422.80
56.00,8.00,467.42
37.00,0.00,378.18
31.00,0.00,378.18
37.00,0.00,378.18
50.00,1.00,467.42
49.00,6.00,422.80
39.00,0.00,422.80
51.00,8.00,467.42
41.00,0.00,467.42
49.00,6.00,378.18
38.00,0.00,378.18
36.00,0.00,378.18
45.00,1.00,378.18
66.00,17.00,422.80
36.00,0.00,378.18
60.00,18.00,422.80
47.00,0.00,422.80
45.00,0.00,422.80
43.00,0.00,422.80
55.00,8.00,467.42
36.00,0.00,378.18
67.00,16.00,467.42
47.00,0.00,378.18
62.00,9.00,467.42
58.00,7.00,422.80
53.00,1.00,422.80
46.00,0.00,422.80
43.00,1.00,422.80
62.00,13.00,422.80
50.00,0.00,422.80
47.00,1.00,378.18
51.00,0.00,422.80
44.00,1.00,378.18
67.00,17.00,467.42
48.00,0.00,378.18
69.00,18.00,422.80
41.00,0.00,378.18
44.00,0.00,378.18
35.00,0.00,378.18
42.00,0.00,378.18
73.00,18.00,467.42
39.00,0.00,378.18
50.00,0.00,422.80
46.00,0.00,378.18
32.00,0.00,378.18
50.00,1.00,422.80
39.00,0.00,378.18
69.00,14.00,467.42
68.00,19.00,467.42
38.00,0.00,422.80
45.00,0.00,422.80
56.00,1.00,422.80
66.00,10.00,467.42
48.00,0.00,378.18
44.00,0.00,422.80
61.00,8.00,467.42
56.00,5.00,467.42
56.00,5.00,422.80
47.00,0.00,378.18
47.00,2.00,378.18
61.00,3.00,422.80
46.00,0.00,422.80
43.00,0.00,378.18
84.00,25.00,467.42
54.00,0.00,422.80
49.00,0.00,467.42
45.00,0.00,378.18
54.00,4.00,378.18
82.00,19.00,467.42
42.00,0.00,378.18
82.00,22.00,467.42
52.00,0.00,422.80
49.00,5.00,378.18
76.00,17.00,467.42
39.00,0.00,378.18
54.00,5.00,422.80
49.00,0.00,422.80
34.00,0.00,378.18
75.00,33.00,422.80
87.00,38.00,467.42
76.00,15.00,467.42
50.00,1.00,378.18
61.00,0.00,378.18
72.00,0.00,422.80
100.00,46.00,467.42
71.00,0.00,422.80
54.00,0.00,378.18
91.00,36.00,467.42
46.00,1.00,422.80
49.00,0.00,467.42
88.00,32.00,467.42
68.00,6.00,422.80
53.00,0.00,378.18
83.00,33.00,467.42
70.00,8.00,378.18
73.00,2.00,467.42
72.00,8.00,467.42
51.00,11.00,378.18
72.00,6.00,378.18
105.00,34.00,467.42
69.00,0.00,378.18
70.00,8.00,422.80
65.00,0.00,378.18
65.00,4.00,422.80
50.00,9.00,378.18
74.00,23.00,422.80
81.00,4.00,422.80
108.00,37.00,467.42
99.00,35.00,467.42
59.00,9.00,422.80
82.00,3.00,422.80
81.00,3.00,422.80
78.00,5.00,378.18
105.00,35.00,467.42
90.00,30.00,467.42
56.00,5.00,378.18
87.00,29.00,467.42
75.00,7.00,378.18
70.00,9.00,378.18
101.00,40.00,467.42
83.00,21.00,467.42
76.00,1.00,378.18
118.00,59.00,422.80
86.00,25.00,422.80
78.00,4.00,422.80
74.00,8.00,467.42
78.00,4.00,422.80
83.00,2.00,422.80
68.00,8.00,422.80
79.00,13.00,378.18
78.00,1.00,378.18
74.00,11.00,378.18
76.00,2.00,378.18
63.00,3.00,378.18
73.00,0.00,378.18
85.00,2.00,467.42
59.00,0.00,378.18
71.00,9.00,378.18
83.00,1.00,422.80
112.00,43.00,422.80
105.00,45.00,467.42
75.00,0.00,378.18
75.00,0.00,422.80
73.00,5.00,422.80
123.00,51.00,467.42
74.00,2.00,378.18
60.00,0.00,378.18
119.00,48.00,467.42
83.00,0.00,422.80
73.00,2.00,378.18
56.00,0.00,378.18
134.00,61.00,467.42
79.00,4.00,422.80
74.00,1.00,378.18
79.00,4.00,378.18
91.00,23.00,467.42
90.00,7.00,422.80
80.00,3.00,422.80
83.00,1.00,422.80
135.00,65.00,467.42
89.00,20.00,467.42
77.00,0.00,378.18
77.00,1.00,422.80
59.00,1.00,378.18
75.00,0.00,378.18
71.00,1.00,378.18
78.00,0.00,378.18
64.00,0.00,422.80
127.00,59.00,467.42
73.00,0.00,378.18
79.00,1.00,422.80
88.00,23.00,467.42
85.00,0.00,422.80
70.00,0.00,378.18
124.00,56.00,467.42
64.00,1.00,467.42
80.00,0.00,422.80
79.00,0.00,378.18
75.00,1.00,378.18
130.00,62.00,467.42
71.00,0.00,378.18
79.00,7.00,467.42
69.00,4.00,378.18
125.00,53.00,467.42
133.00,54.00,422.80
80.00,0.00,378.18
122.00,45.00,467.42
86.00,1.00,422.80
69.00,0.00,378.18
86.00,0.00,422.80
80.00,0.00,422.80
77.00,0.00,378.18
94.00,2.00,467.42
77.00,0.00,378.18
72.00,0.00,378.18
68.00,0.00,378.18
107.00,40.00,422.80
83.00,0.00,422.80
72.00,0.00,378.18
151.00,76.00,467.42
77.00,0.00,422.80
68.00,0.00,378.18
106.00,40.00,467.42
105.00,37.00,422.80
73.00,1.00,422.80
128.00,46.00,467.42
111.00,27.00,467.42
106.00,36.00,467.42
118.00,35.00,422.80
126.00,45.00,467.42
122.00,37.00,467.42
73.00,1.00,378.18
87.00,0.00,467.42
82.00,0.00,378.18
76.00,0.00,422.80
93.00,13.00,378.18
78.00,0.00,378.18
156.00,88.00,467.42
107.00,16.00,467.42
91.00,0.00,422.80
149.00,84.00,467.42
148.00,82.00,422.80
88.00,0.00,467.42
74.00,0.00,378.18
145.00,78.00,467.42
85.00,0.00,378.18
102.00,16.00,422.80
83.00,1.00,422.80
171.00,97.00,422.80
143.00,69.00,467.42
97.00,11.00,378.18
