time,wait,distance
28.00,0.00,347.92
31.00,0.00,394.90
31.00,0.00,394.90
30.00,0.00,347.92
34.00,0.00,347.92
31.00,0.00,347.92
27.00,0.00,347.92
32.00,0.00,347.92
39.00,0.00,422.92
44.00,0.00,422.92
39.00,0.00,394.90
37.00,0.00,422.92
31.00,0.00,347.92
35.00,0.00,394.90
31.00,0.00,347.92
28.00,0.00,347.92
31.00,0.00,422.92
35.00,0.00,394.90
39.00,0.00,422.92
32.00,0.00,422.92
40.00,2.00,347.92
34.00,0.00,394.90
32.00,0.00,347.92
32.00,0.00,347.92
35.00,0.00,394.90
29.00,0.00,347.92
33.00,0.00,347.92
33.00,0.00,422.92
28.00,0.00,347.92
27.00,0.00,347.92
62.00,31.00,422.92
33.00,0.00,394.90
33.00,0.00,347.92
35.00,0.00,394.90
31.00,0.00,347.92
65.00,22.00,422.92
63.00,20.00,422.92
33.00,0.00,394.90
58.00,15.00,422.92
31.00,0.00,394.90
31.00,0.00,347.92
24.00,0.00,347.92
51.00,7.00,422.92
30.00,0.00,347.92
58.00,11.00,422.92
34.00,0.00,347.92
51.00,6.00,422.92
46.00,0.00,422.92
44.00,0.00,422.92
33.00,0.00,394.90
30.00,0.00,347.92
40.00,0.00,422.92
37.00,0.00,422.92
31.00,0.00,347.92
30.00,0.00,347.92
28.00,0.00,347.92
36.00,0.00,422.92
38.00,0.00,394.90
33.00,0.00,394.90
31.00,0.00,347.92
29.00,0.00,347.92
90.00,49.00,394.90
84.00,45.00,394.90
32.00,0.00,347.92
34.00,0.00,394.90
83.00,42.00,394.90
77.00,38.00,394.90
70.00,30.00,394.90
31.00,0.00,394.90
76.00,33.00,394.90
63.00,23.00,394.90
34.00,0.00,347.92
69.00,27.00,394.90
28.00,0.00,347.92
31.00,0.00,347.92
32.00,0.00,394.90
62.00,19.00,394.90
57.00,14.00,394.90
55.00,14.00,394.90
50.00,8.00,394.90
43.00,1.00,394.90
48.00,6.00,394.90
39.00,0.00,394.90
27.00,0.00,347.92
36.00,1.00,394.90
32.00,0.00,347.92
33.00,0.00,394.90
36.00,0.00,394.90
34.00,0.00,394.90
45.00,11.00,347.92
34.00,0.00,347.92
80.00,42.00,422.92
87.00,48.00,422.92
33.00,0.00,347.92
34.00,0.00,394.90
80.00,40.00,422.92
74.00,34.00,422.92
29.00,0.00,347.92
32.00,0.00,347.92
33.00,0.00,394.90
67.00,25.00,422.92
74.00,30.00,422.92
67.00,25.00,422.92
62.00,17.00,422.92
60.00,17.00,422.92
54.00,11.00,422.92
29.00,0.00,347.92
33.00,0.00,394.90
52.00,10.00,422.92
31.00,0.00,394.90
47.00,2.00,422.92
35.00,0.00,347.92
45.00,3.00,422.92
30.00,0.00,347.92
40.00,0.00,422.92
38.00,0.00,422.92
32.00,0.00,422.92
26.00,0.00,347.92
46.00,15.00,347.92
31.00,0.00,347.92
32.00,0.00,422.92
40.00,9.00,347.92
35.00,0.00,394.90
60.00,24.00,347.92
33.00,0.00,394.90
30.00,0.00,347.92
35.00,0.00,347.92
27.00,0.00,347.92
31.00,0.00,347.92
69.00,34.00,422.92
32.00,0.00,394.90
27.00,0.00,347.92
85.00,45.00,422.92
92.00,48.00,422.92
33.00,0.00,394.90
84.00,42.00,422.92
33.00,0.00,347.92
82.00,35.00,422.92
29.00,0.00,347.92
74.00,27.00,422.92
70.00,27.00,422.92
43.00,2.00,422.92
29.00,0.00,347.92
30.00,0.00,394.90
68.00,23.00,422.92
34.00,0.00,394.90
64.00,20.00,422.92
59.00,15.00,422.92
56.00,11.00,422.92
52.00,6.00,422.92
40.00,0.00,422.92
34.00,0.00,347.92
45.00,0.00,422.92
33.00,0.00,347.92
31.00,0.00,394.90
28.00,0.00,347.92
37.00,0.00,422.92
32.00,0.00,347.92
30.00,0.00,347.92
31.00,0.00,394.90
28.00,0.00,347.92
37.00,0.00,422.92
85.00,49.00,394.90
83.00,45.00,394.90
80.00,41.00,394.90
76.00,39.00,394.90
72.00,32.00,394.90
29.00,0.00,347.92
69.00,29.00,394.90
31.00,0.00,347.92
61.00,24.00,394.90
65.00,25.00,394.90
34.00,0.00,347.92
36.00,0.00,394.90
54.00,15.00,394.90
57.00,18.00,394.90
36.00,0.00,394.90
48.00,5.00,394.90
51.00,10.00,394.90
35.00,0.00,347.92
32.00,0.00,394.90
41.00,0.00,394.90
44.00,4.00,394.90
33.00,0.00,394.90
30.00,0.00,347.92
36.00,0.00,394.90
35.00,0.00,347.92
31.00,0.00,347.92
30.00,0.00,394.90
35.00,0.00,347.92
29.00,0.00,347.92
29.00,0.00,347.92
39.00,0.00,394.90
31.00,0.00,347.92
33.00,0.00,394.90
23.00,0.00,394.90
82.00,39.00,422.92
85.00,42.00,422.92
38.00,0.00,394.90
32.00,0.00,347.92
29.00,0.00,394.90
78.00,36.00,422.92
76.00,31.00,422.92
30.00,0.00,347.92
71.00,30.00,422.92
26.00,0.00,347.92
69.00,24.00,422.92
64.00,21.00,422.92
30.00,0.00,347.92
62.00,18.00,422.92
54.00,12.00,422.92
59.00,14.00,422.92
47.00,2.00,422.92
51.00,7.00,422.92
40.00,0.00,422.92
31.00,0.00,394.90
44.00,0.00,422.92
31.00,0.00,347.92
39.00,5.00,347.92
30.00,0.00,394.90
31.00,0.00,347.92
36.00,0.00,422.92
30.00,0.00,347.92
40.00,0.00,422.92
79.00,47.00,422.92
29.00,0.00,347.92
30.00,0.00,347.92
83.00,45.00,422.92
36.00,0.00,394.90
34.00,0.00,394.90
34.00,0.00,347.92
76.00,36.00,422.92
48.00,13.00,422.92
52.00,16.00,422.92
45.00,11.00,347.92
27.00,0.00,394.90
81.00,39.00,422.92
69.00,29.00,422.92
32.00,0.00,394.90
74.00,30.00,422.92
30.00,0.00,347.92
63.00,22.00,422.92
67.00,24.00,422.92
40.00,0.00,347.92
34.00,0.00,347.92
37.00,0.00,347.92
50.00,5.00,422.92
33.00,0.00,347.92
54.00,9.00,422.92
46.00,1.00,422.92
43.00,0.00,422.92
29.00,0.00,394.90
30.00,0.00,347.92
36.00,0.00,422.92
30.00,0.00,347.92
