time,wait,distance
28.00,0.00,345.25
31.00,0.00,394.90
33.00,0.00,398.31
31.00,0.00,394.90
30.00,0.00,345.25
30.00,0.00,345.25
34.00,0.00,398.31
35.00,0.00,345.25
36.00,0.00,394.90
39.00,0.00,398.31
27.00,0.00,345.25
32.00,0.00,345.25
36.00,0.00,398.31
30.00,0.00,394.90
35.00,0.00,398.31
35.00,0.00,394.90
35.00,0.00,398.31
39.00,0.00,394.90
31.00,0.00,345.25
34.00,0.00,394.90
24.00,0.00,398.31
30.00,0.00,394.90
34.00,0.00,345.25
28.00,0.00,345.25
35.00,0.00,394.90
35.00,0.00,398.31
39.00,0.00,398.31
33.00,0.00,345.25
35.00,0.00,398.31
29.00,0.00,345.25
34.00,0.00,394.90
32.00,0.00,345.25
40.00,0.00,398.31
37.00,0.00,394.90
27.00,0.00,398.31
35.00,0.00,394.90
32.00,0.00,345.25
31.00,0.00,394.90
30.00,0.00,394.90
29.00,0.00,345.25
37.00,0.00,398.31
34.00,0.00,398.31
35.00,0.00,398.31
30.00,0.00,345.25
33.00,0.00,394.90
27.00,0.00,345.25
34.00,0.00,345.25
35.00,0.00,394.90
34.00,0.00,398.31
33.00,0.00,398.31
33.00,0.00,394.90
30.00,0.00,345.25
30.00,0.00,345.25
31.00,0.00,394.90
34.00,0.00,394.90
35.00,0.00,398.31
40.00,0.00,398.31
34.00,0.00,345.25
31.00,0.00,345.25
39.00,0.00,394.90
33.00,0.00,398.31
30.00,0.00,394.90
35.00,0.00,398.31
32.00,0.00,394.90
38.00,0.00,398.31
32.00,0.00,345.25
31.00,0.00,345.25
36.00,0.00,394.90
31.00,0.00,345.25
36.00,0.00,398.31
30.00,0.00,345.25
33.00,0.00,398.31
28.00,0.00,345.25
37.00,0.00,394.90
33.00,0.00,394.90
32.00,0.00,394.90
36.00,0.00,398.31
30.00,0.00,345.25
36.00,0.00,398.31
33.00,0.00,394.90
30.00,0.00,345.25
35.00,0.00,398.31
29.00,0.00,345.25
35.00,0.00,394.90
32.00,0.00,398.31
36.00,0.00,398.31
33.00,0.00,394.90
31.00,0.00,394.90
28.00,0.00,345.25
32.00,0.00,345.25
34.00,0.00,394.90
31.00,0.00,345.25
38.00,0.00,398.31
36.00,0.00,398.31
33.00,0.00,394.90
30.00,0.00,345.25
33.00,0.00,398.31
29.00,0.00,345.25
34.00,0.00,394.90
29.00,0.00,345.25
33.00,0.00,394.90
33.00,0.00,345.25
35.00,0.00,398.31
39.00,0.00,398.31
36.00,0.00,394.90
42.00,0.00,398.31
32.00,0.00,398.31
31.00,0.00,394.90
36.00,0.00,394.90
34.00,0.00,345.25
28.00,0.00,345.25
38.00,0.00,398.31
33.00,0.00,398.31
36.00,0.00,398.31
33.00,0.00,345.25
