time,wait,distance
31.00,0.00,359.44
35.00,0.00,371.33
26.00,0.00,371.33
34.00,0.00,371.33
42.00,0.00,539.01
29.00,0.00,371.33
43.00,6.00,392.83
46.00,1.00,487.89
43.00,4.00,359.44
44.00,0.00,410.56
30.00,0.00,371.33
40.00,0.00,359.44
32.00,0.00,359.44
35.00,0.00,371.33
52.00,7.00,392.83
31.00,0.00,371.33
29.00,0.00,371.33
45.00,5.00,392.83
64.00,14.00,392.83
38.00,0.00,392.83
34.00,0.00,359.44
64.00,24.00,359.44
33.00,0.00,371.33
64.00,22.00,392.83
58.00,19.00,359.44
57.00,15.00,392.83
37.00,0.00,371.33
53.00,12.00,359.44
50.00,8.00,392.83
42.00,0.00,392.83
46.00,7.00,359.44
35.00,0.00,392.83
33.00,0.00,371.33
35.00,0.00,371.33
83.00,33.00,487.89
41.00,2.00,359.44
29.00,0.00,371.33
77.00,30.00,487.89
36.00,0.00,359.44
33.00,0.00,371.33
60.00,25.00,392.83
56.00,17.00,359.44
55.00,16.00,392.83
31.00,0.00,371.33
35.00,0.00,371.33
93.00,37.00,487.89
52.00,14.00,359.44
88.00,30.00,487.89
50.00,13.00,392.83
75.00,33.00,410.56
33.00,0.00,371.33
108.00,58.00,410.56
99.00,48.00,410.56
65.00,6.00,487.89
44.00,3.00,359.44
97.00,49.00,410.56
88.00,40.00,410.56
86.00,24.00,487.89
83.00,42.00,410.56
93.00,45.00,410.56
72.00,24.00,410.56
36.00,0.00,371.33
39.00,0.00,359.44
106.00,51.00,539.01
76.00,28.00,410.56
110.00,44.00,539.01
61.00,1.00,487.89
103.00,35.00,539.01
66.00,15.00,410.56
94.00,27.00,539.01
60.00,16.00,359.44
36.00,0.00,371.33
75.00,29.00,410.56
69.00,24.00,392.83
67.00,22.00,410.56
61.00,12.00,392.83
35.00,0.00,371.33
53.00,12.00,392.83
60.00,13.00,410.56
46.00,4.00,392.83
53.00,7.00,410.56
87.00,23.00,487.89
64.00,22.00,359.44
47.00,3.00,410.56
32.00,0.00,371.33
58.00,18.00,359.44
111.00,48.00,539.01
81.00,20.00,487.89
37.00,0.00,371.33
27.00,0.00,371.33
96.00,36.00,487.89
62.00,19.00,392.83
57.00,14.00,359.44
33.00,0.00,371.33
71.00,27.00,392.83
50.00,9.00,359.44
47.00,0.00,392.83
57.00,12.00,392.83
44.00,3.00,359.44
41.00,3.00,392.83
35.00,0.00,392.83
33.00,0.00,371.33
115.00,46.00,487.89
35.00,0.00,371.33
91.00,23.00,487.89
63.00,22.00,392.83
67.00,23.00,359.44
30.00,0.00,371.33
56.00,18.00,392.83
62.00,19.00,359.44
51.00,9.00,392.83
35.00,0.00,371.33
55.00,15.00,359.44
44.00,2.00,392.83
48.00,10.00,359.44
30.00,0.00,371.33
37.00,0.00,392.83
