time,wait,distance
31.00,0.00,394.90
31.00,0.00,394.90
31.00,0.00,349.34
34.00,0.00,349.34
36.00,0.00,394.90
40.00,0.00,499.34
30.00,0.00,394.90
35.00,0.00,394.90
39.00,0.00,394.90
34.00,0.00,394.90
41.00,0.00,349.34
30.00,0.00,394.90
35.00,0.00,394.90
35.00,0.00,349.34
33.00,0.00,394.90
37.00,0.00,394.90
31.00,0.00,394.90
35.00,0.00,394.90
30.00,0.00,394.90
33.00,0.00,394.90
54.00,20.00,349.34
34.00,0.00,394.90
65.00,17.00,499.34
46.00,7.00,349.34
34.00,0.00,394.90
32.00,0.00,394.90
30.00,0.00,394.90
46.00,4.00,349.34
38.00,0.00,394.90
31.00,0.00,394.90
36.00,0.00,394.90
33.00,0.00,394.90
59.00,24.00,349.34
33.00,0.00,394.90
38.00,1.00,394.90
32.00,0.00,394.90
33.00,0.00,394.90
93.00,34.00,499.34
61.00,23.00,349.34
34.00,0.00,394.90
32.00,0.00,394.90
46.00,7.00,349.34
31.00,0.00,394.90
34.00,0.00,394.90
62.00,19.00,349.34
93.00,36.00,499.34
33.00,0.00,394.90
78.00,17.00,499.34
73.00,32.00,349.34
35.00,0.00,394.90
57.00,21.00,349.34
33.00,0.00,394.90
36.00,0.00,394.90
31.00,0.00,394.90
35.00,0.00,394.90
33.00,0.00,394.90
35.00,0.00,394.90
33.00,0.00,394.90
33.00,0.00,394.90
31.00,0.00,394.90
107.00,59.00,499.34
32.00,0.00,394.90
30.00,0.00,394.90
110.00,63.00,349.34
69.00,27.00,349.34
85.00,24.00,499.34
53.00,17.00,349.34
33.00,0.00,394.90
117.00,53.00,499.34
97.00,31.00,499.34
101.00,34.00,499.34
32.00,0.00,394.90
78.00,35.00,349.34
85.00,23.00,499.34
116.00,46.00,499.34
36.00,0.00,394.90
33.00,0.00,394.90
30.00,0.00,394.90
34.00,0.00,394.90
101.00,34.00,499.34
32.00,0.00,394.90
76.00,27.00,349.34
33.00,0.00,394.90
33.00,0.00,394.90
116.00,65.00,349.34
32.00,0.00,394.90
153.00,121.00,349.34
33.00,0.00,394.90
101.00,50.00,349.34
32.00,0.00,394.90
34.00,0.00,394.90
31.00,0.00,394.90
30.00,0.00,394.90
35.00,0.00,394.90
31.00,0.00,394.90
92.00,48.00,349.34
82.00,30.00,349.34
78.00,31.00,349.34
66.00,20.00,349.34
33.00,0.00,394.90
71.00,27.00,349.34
77.00,31.00,349.34
31.00,0.00,394.90
136.00,60.00,499.34
36.00,0.00,394.90
151.00,85.00,499.34
36.00,0.00,394.90
31.00,0.00,394.90
96.00,40.00,349.34
32.00,0.00,394.90
30.00,0.00,394.90
141.00,68.00,499.34
125.00,51.00,499.34
38.00,0.00,394.90
33.00,0.00,394.90
117.00,51.00,349.34
112.00,42.00,349.34
34.00,0.00,394.90
28.00,0.00,394.90
124.00,51.00,499.34
39.00,0.00,394.90
32.00,0.00,394.90
30.00,0.00,394.90
39.00,0.00,394.90
153.00,78.00,499.34
121.00,47.00,499.34
116.00,69.00,349.34
109.00,56.00,349.34
36.00,0.00,394.90
32.00,0.00,394.90
30.00,0.00,394.90
35.00,0.00,394.90
148.00,81.00,499.34
153.00,82.00,499.34
132.00,59.00,499.34
34.00,0.00,394.90
116.00,49.00,499.34
139.00,66.00,499.34
33.00,0.00,394.90
132.00,58.00,499.34
35.00,0.00,394.90
33.00,0.00,394.90
33.00,0.00,394.90
27.00,0.00,394.90
125.00,61.00,349.34
32.00,0.00,394.90
118.00,59.00,349.34
34.00,0.00,394.90
115.00,65.00,349.34
34.00,0.00,394.90
174.00,98.00,499.34
27.00,0.00,394.90
34.00,0.00,394.90
143.00,71.00,499.34
28.00,0.00,394.90
38.00,0.00,394.90
